title,year,rating,votes,budget,box_office,success
The Shawshank Redemption,1994,9.3,2343110,25000000,28341469,1
The Godfather,1972,9.2,1620367,6000000,246120974,1
The Dark Knight,2008,9.0,2308000,185000000,1004934033,1
12 Angry Men,1957,9.0,738000,350000,1000000,1
Schindler's List,1993,8.9,1267000,22000000,322161245,1
Batman v Superman,2016,6.4,700000,250000000,873634919,1
Cats,2019,2.8,46000,95000000,73833290,0
Fantastic Four,2015,4.3,170000,120000000,167977596,0
Jupiter Ascending,2015,5.3,203000,176000000,183987723,0
Mortal Engines,2018,6.1,116000,100000000,83537244,0
John Carter,2012,6.6,268000,263700000,284139100,0
